frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
30,ok,response,18,0,,,,true,2869252617,2876752577,14346263.085,14383762.885,37499.800,9373.870,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
31,ok,request,18,97,,,,true,3023640877,3027365406,15118204.385,15136827.030,18622.645,734441.500,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
32,ok,response,18,0,,,,true,3029264621,3053431143,15146323.105,15267155.715,120832.610,9496.075,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 45 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 45 38 46 34 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.470V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.461V#1 MOS=25.9C T1=26.2C T2=25.6C T4=26.2C T5=26.2C,
33,ok,request,50,97,,,,true,3185223484,3188948020,15926117.420,15944740.100,18622.680,658961.705,7E 32 30 33 32 34 36 36 31 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x32 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
34,ok,request,18,99,,,,true,3359615150,3363339674,16798075.750,16816698.370,18622.620,853335.650,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
35,ok,response,18,0,,,,true,3365248126,3372748087,16826240.630,16863740.435,37499.805,9542.260,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
36,ok,request,18,97,,,,true,3519603423,3523327949,17598017.115,17616639.745,18622.630,734276.680,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
37,ok,response,18,0,,,,true,3525262731,3549429253,17626313.655,17747146.265,120832.610,9673.910,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 45 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 45 38 46 34 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.470V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.461V#1 MOS=25.9C T1=26.2C T2=25.6C T4=26.2C T5=26.2C,
38,ok,request,66,97,,,,true,3679595574,3683320103,18397977.870,18416600.515,18622.645,650831.605,7E 32 30 34 32 34 36 36 31 30 30 30 30 46 44 41 37 0D,Pylon req addr=0x42 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
39,ok,request,18,99,,,,true,3855577250,3859301778,19277886.250,19296508.890,18622.640,861285.735,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
40,ok,response,18,0,,,,true,3861246235,3868746196,19306231.175,19343730.980,37499.805,9722.285,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
41,ok,request,2,97,,,,true,4015565268,4019289796,20077826.340,20096448.980,18622.640,734095.360,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
42,ok,request,18,97,,,,true,4191551660,4195276184,20957758.300,20976380.920,18622.620,861309.320,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
43,ok,response,18,0,,,,true,4197257108,4221423631,20986285.540,21107118.155,120832.615,9904.620,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 34 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 34 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 45 39 30 36 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.460V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.460V#1 MOS=25.9C T1=26.2C T2=25.6C T4=26.2C T5=26.2C,
44,ok,request,18,99,,,,true,4351544359,4355268888,21757721.795,21776344.440,18622.645,650603.640,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
45,ok,response,18,0,,,,true,4357243046,4364743007,21786215.230,21823715.035,37499.805,9870.790,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
46,ok,request,18,97,,,,true,4511531822,4515256354,22557659.110,22576281.770,18622.660,733944.075,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
47,ok,response,18,0,,,,true,4517256349,4541422871,22586281.745,22707114.355,120832.610,9999.975,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 34 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 34 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 45 39 30 36 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.460V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.460V#1 MOS=25.9C T1=26.2C T2=25.6C T4=26.2C T5=26.2C,
48,ok,request,34,97,,,,true,4671524090,4675248616,23357620.450,23376243.080,18622.630,650506.095,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
49,ok,request,18,99,,,,true,4847510093,4851234619,24237550.465,24256173.095,18622.630,861307.385,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
50,ok,response,18,0,,,,true,4853238555,4860738517,24266192.775,24303692.585,37499.810,10019.680,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
