frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
357,ok,standard,0x319,data,8,1373878254,1373924134,6869391.270,6869620.670,229.400,20237.940,C0 0D F2 0D EF 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EF 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.567V#7 dV=3mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
358,ok,standard,0x320,data,8,1377786898,1377831578,6888934.490,6889157.890,223.400,19313.820,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
359,ok,standard,0x321,data,8,1381776351,1381824631,6908881.755,6909123.155,241.400,19723.865,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
360,ok,standard,0x322,data,8,1385776597,1385822477,6928882.985,6929112.385,229.400,19759.830,01 3B 00 00 03 01 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 01 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#1 SOCmax=86%% SOCmin=86%%,
361,ok,standard,0x323,data,8,1389777181,1389825861,6948885.905,6949129.305,243.400,19773.520,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
362,ok,standard,0x311,data,8,1393777042,1393822922,6968885.210,6969114.610,229.400,19755.905,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
363,ok,standard,0x312,data,8,1397808488,1397856768,6989042.440,6989283.840,241.400,19927.830,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
364,ok,standard,0x301,data,8,1398368121,1398412401,6991840.605,6992062.005,221.400,2556.765,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
365,ok,standard,0x313,data,8,1401785072,1401830152,7008925.360,7009150.760,225.400,16863.355,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
366,ok,standard,0x314,data,8,1405777732,1405825212,7028888.660,7029126.060,237.400,19737.900,01 AE 01 F4 00 03 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 03 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=3mV cycles=0,
367,ok,standard,0x319,data,8,1409777981,1409824261,7048889.905,7049121.305,231.400,19763.845,C0 0D F2 0D EE 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EE 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.566V#7 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
368,ok,standard,0x320,data,8,1413786631,1413831311,7068933.155,7069156.555,223.400,19811.850,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
369,ok,standard,0x321,data,8,1417798085,1417846365,7088990.425,7089231.825,241.400,19833.870,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
370,ok,standard,0x322,data,8,1421778347,1421824227,7108891.735,7109121.135,229.400,19659.910,01 3B 00 00 03 01 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 01 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#1 SOCmax=86%% SOCmin=86%%,
371,ok,standard,0x323,data,8,1425778989,1425827669,7128894.945,7129138.345,243.400,19773.810,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
372,ok,standard,0x311,data,8,1429778850,1429824730,7148894.250,7149123.650,229.400,19755.905,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
373,ok,standard,0x312,data,8,1433780295,1433828575,7168901.475,7169142.875,241.400,19777.825,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
374,ok,standard,0x313,data,8,1437798083,1437843163,7188990.415,7189215.815,225.400,19847.540,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
375,ok,standard,0x314,data,8,1441797533,1441845013,7208987.665,7209225.065,237.400,19771.850,01 AE 01 F4 00 02 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 02 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=2mV cycles=0,
