frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
11,ok,request,66,66,,,,true,2408330890,2413289172,12041654.450,12066445.860,24791.410,1876109.970,7E 32 30 34 32 34 36 34 32 45 30 30 32 30 32 46 44 32 46 0D,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,request cell information selector=0x02,
12,ok,frame,2,4,,,,true,2414147306,2417897470,12070736.530,12089487.350,18750.820,4290.670,7E 32 30 30 32 34 36 30 34 30 30 30 30 46 44 41 45 0D,Pylon frame addr=0x02 cid1=0x46 code=0x04 chk=OK,request request empty payload,
13,ok,request,2,99,,,,true,2813689076,2818147363,14068445.380,14090736.815,22291.435,1978958.030,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
14,ok,response,2,0,,,,true,2819165979,2826666315,14095829.895,14133331.575,37501.680,5093.080,7E 32 30 30 32 34 36 30 30 44 30 31 32 30 35 45 30 42 31 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 38 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
15,ok,request,2,98,,,,true,3218471216,3222929503,16092356.080,16114647.515,22291.435,1959024.505,7E 32 30 30 32 34 36 36 32 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,request alarm/status flags empty payload,
16,ok,response,2,0,,,,true,3223788800,3229205707,16118944.000,16146028.535,27084.535,4296.485,7E 32 30 30 32 34 36 30 30 38 30 30 38 30 30 30 30 30 30 30 30 46 43 32 32 0D,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8,0x62 flags=0x00000000 (no flags set),
17,ok,frame,0,2,,,,true,3412985024,3416735186,17064925.120,17083675.930,18750.810,918896.585,7E 30 30 30 30 30 30 30 32 30 30 30 30 46 44 42 45 0D,Pylon frame addr=0x00 cid1=0x00 code=0x02 chk=OK,request request empty payload,
18,ok,request,2,97,,,,true,3623228870,3627687157,18116144.350,18138435.785,22291.435,1032468.420,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
19,ok,response,2,0,,,,true,3628828309,3652996080,18144141.545,18264980.400,120838.855,5705.760,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 46 30 33 30 30 30 30 36 33 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 31 30 30 30 31 30 44 46 31 30 30 30 37 30 42 45 31 30 42 45 36 30 30 30 34 30 42 44 43 30 30 30 33 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 45 38 41 33 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.091V I=0.0A SOC=99% SOH=100% cycles=0 cell_max=3.569V#1 cell_min=3.569V#7 MOS=31.0C T1=31.5C T2=30.5C T4=29.2C T5=29.2C,
20,ok,frame,0,2,,,,true,3844838266,3848588431,19224191.330,19242942.155,18750.825,959210.930,7E 30 30 30 30 30 30 30 32 30 30 30 30 46 44 42 45 0D,Pylon frame addr=0x00 cid1=0x00 code=0x02 chk=OK,request request empty payload,
21,ok,request,66,66,,,,true,4188059723,4193018004,20940298.615,20965090.020,24791.405,1697356.460,7E 32 30 34 32 34 36 34 32 45 30 30 32 30 31 46 44 33 30 0D,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,request cell information selector=0x01,
22,ok,frame,2,4,,,,true,4194021034,4197771198,20970105.170,20988855.990,18750.820,5015.150,7E 32 30 30 32 34 36 30 34 30 30 30 30 46 44 41 45 0D,Pylon frame addr=0x02 cid1=0x46 code=0x04 chk=OK,request request empty payload,
23,ok,request,2,99,,,,true,4593418058,4597876345,22967090.290,22989381.725,22291.435,1978234.300,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
24,ok,response,2,0,,,,true,4598873032,4606373369,22994365.160,23031866.845,37501.685,4983.435,7E 32 30 30 32 34 36 30 30 44 30 31 32 30 35 45 30 42 31 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 38 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
25,ok,request,2,98,,,,true,4998308985,5002767272,24991544.925,25013836.360,22291.435,1959678.080,7E 32 30 30 32 34 36 36 32 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,request alarm/status flags empty payload,
26,ok,response,2,0,,,,true,5003662530,5009079436,25018312.650,25045397.180,27084.530,4476.290,7E 32 30 30 32 34 36 30 30 38 30 30 38 30 30 30 30 30 30 30 30 46 43 32 32 0D,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8,0x62 flags=0x00000000 (no flags set),
27,ok,request,2,97,,,,true,5403149766,5407608052,27015748.830,27038040.260,22291.430,1970351.650,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
28,ok,response,2,0,,,,true,5408702038,5432869808,27043510.190,27164349.040,120838.850,5469.930,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 46 30 44 30 30 30 30 36 33 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 32 30 30 30 31 30 44 46 31 30 30 30 32 30 42 45 31 30 42 45 36 30 30 30 34 30 42 44 43 30 30 30 33 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 45 38 39 36 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.101V I=0.0A SOC=99% SOH=100% cycles=0 cell_max=3.570V#1 cell_min=3.569V#2 MOS=31.0C T1=31.5C T2=30.5C T4=29.2C T5=29.2C,
29,ok,request,66,66,,,,true,5807829117,5812787397,29039145.585,29063936.985,24791.400,1874796.545,7E 32 30 34 32 34 36 34 32 45 30 30 32 30 30 46 44 33 31 0D,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,request cell information selector=0x00,
30,ok,frame,2,4,,,,true,5813699876,5817450041,29068499.380,29087250.205,18750.825,4562.395,7E 32 30 30 32 34 36 30 34 30 30 30 30 46 44 41 45 0D,Pylon frame addr=0x02 cid1=0x46 code=0x04 chk=OK,request request empty payload,
