frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
102,ok,standard,0x311,data,8,1574913807,1574959287,7874569.035,7874796.435,227.400,165777.835,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
103,ok,standard,0x312,data,8,1592004152,1592052432,7960020.760,7960262.160,241.400,85224.325,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
104,ok,standard,0x301,data,8,1595405391,1595449671,7977026.955,7977248.355,221.400,16764.795,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
105,ok,standard,0x313,data,8,1608513351,1608558831,8042566.755,8042794.155,227.400,65318.400,15 B2 00 00 01 0B 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B2 00 00 01 0B 46 64],0x313 pack V=55.54V I=+0.0A Tavg=26.7C SOC=70%% SOH=100%% lifeWarn=0,
106,ok,standard,0x314,data,8,1625113299,1625159979,8125566.495,8125799.895,233.400,82772.340,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
107,ok,standard,0x319,data,8,1641713247,1641758327,8208566.235,8208791.635,225.400,82766.340,C1 0D 93 0D 89 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 93 0D 89 01 01 00],0x319 cell_max=3.475V#1 cell_min=3.465V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
108,ok,standard,0x320,data,8,1658313195,1658359875,8291565.975,8291799.375,233.400,82774.340,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
109,ok,standard,0x322,data,8,1674913543,1674959023,8374567.715,8374795.115,227.400,82768.340,01 0B 01 04 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 0B 01 04 01 01 46 46],0x322 Tmax=26.7C#1 Tmin=26.0C#1 SOCmax=70%% SOCmin=70%%,
110,ok,standard,0x315,data,8,1692002688,1692046568,8460013.440,8460232.840,219.400,85218.325,0D 90 0D 89 0D 8F 0D 8E,Growatt CAN 0x315 cell group 1 DLC=8 [0D 90 0D 89 0D 8F 0D 8E],0x315 cells C01=3.472V C02=3.465V C03=3.471V C04=3.470V,
111,ok,standard,0x301,data,8,1697377912,1697422192,8486889.560,8487110.960,221.400,26656.720,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
