frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
293,ok,extended,0x18F128F4,data,8,1701266664,1701376024,8506333.320,8506880.120,546.800,533.585,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
294,ok,standard,0x2F4,data,8,1720868316,1720961676,8604341.580,8604808.380,466.800,97461.460,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
295,ok,standard,0x4F4,data,8,1721067602,1721160962,8605338.010,8605804.810,466.800,529.630,F5 0D 01 F2 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#6 dV=3mV,
296,ok,standard,0x2F4,data,8,1740869258,1740962618,8704346.290,8704813.090,466.800,98541.480,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
297,ok,standard,0x4F4,data,8,1741068471,1741161831,8705342.355,8705809.155,466.800,529.265,F5 0D 01 F2 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#6 dV=3mV,
298,ok,extended,0x18F128F4,data,8,1741268477,1741377837,8706342.385,8706889.185,546.800,533.230,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
299,ok,standard,0x2F4,data,8,1760870200,1760963560,8804351.000,8804817.800,466.800,97461.815,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
300,ok,standard,0x4F4,data,8,1761069407,1761161967,8805347.035,8805809.835,462.800,529.235,F5 0D 01 F3 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#6 dV=2mV,
301,ok,standard,0x2F4,data,8,1780871141,1780964501,8904355.705,8904822.505,466.800,98545.870,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
302,ok,standard,0x4F4,data,8,1781070349,1781162909,8905351.745,8905814.545,462.800,529.240,F5 0D 01 F3 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#6 dV=2mV,
