frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
34,ok,response,0x01,0x03,0x0000,13,26,true,842411111,848869732,4212055.555,4244348.660,32293.105,4944.030,01 03 1A FF B4 15 DD 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 CA B2,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.97V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
35,ok,request,0x01,0x03,0x000F,22,,true,891478021,893436336,4457390.105,4467181.680,9791.575,213041.445,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
36,ok,response,0x01,0x03,0x000F,22,44,true,894413522,904622319,4472067.610,4523111.595,51043.985,4885.930,01 03 2C 0D AD 0D A8 0D AC 0D AA 0D AC 0D AD 0D A9 0D AA 0D AA 0D AA 0D AA 0D AA 0D AC 0D AC 0D AA 0D AC 01 36 01 33 01 32 01 38 01 20 01 35 CE 6D,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.501V C02=3.496V C03=3.500V C04=3.498V C05=3.500V C06=3.501V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.498V C12=3.498V C13=3.500V C14=3.500V C15=3.498V C16=3.500V min=3.496V#2 max=3.501V#1, temp1=31.0C, temp2=30.7C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
37,ok,request,0x01,0x03,0x0000,13,,true,941459305,943417620,4707296.525,4717088.100,9791.575,184184.930,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
38,ok,response,0x01,0x03,0x0000,13,26,true,944415841,950874464,4722079.205,4754372.320,32293.115,4991.105,01 03 1A FF B4 15 DD 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 CA B2,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.97V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
39,ok,request,0x01,0x03,0x000F,22,,true,991457389,993415704,4957286.945,4967078.520,9791.575,202914.625,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
40,ok,response,0x01,0x03,0x000F,22,44,true,994418159,1004626956,4972090.795,5023134.780,51043.985,5012.275,01 03 2C 0D AE 0D A8 0D AC 0D AA 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AA 0D AA 0D AC 0D AC 0D AA 0D AC 01 36 01 33 01 32 01 38 01 20 01 35 E5 6F,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.496V C03=3.500V C04=3.498V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.498V C12=3.498V C13=3.500V C14=3.500V C15=3.498V C16=3.500V min=3.496V#2 max=3.502V#1, temp1=31.0C, temp2=30.7C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
41,ok,request,0x01,0x03,0x0000,13,,true,1041464457,1043422772,5207322.285,5217113.860,9791.575,184187.505,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
42,ok,response,0x01,0x03,0x0000,13,26,true,1044441313,1050899936,5222206.565,5254499.680,32293.115,5092.705,01 03 1A FF B4 15 DD 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 CA B2,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.97V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
43,ok,request,0x01,0x03,0x000F,22,,true,1091518641,1093476956,5457593.205,5467384.780,9791.575,203093.525,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
