frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
11,ok,standard,0x316,data,8,180205389,180249269,901026.945,901246.345,219.400,82324.325,0D 90 0D 93 0D 91 0D 94,Growatt CAN 0x316 cell group 2 DLC=8 [0D 90 0D 93 0D 91 0D 94],0x316 cells C05=3.472V C06=3.475V C07=3.473V C08=3.476V,
12,ok,standard,0x301,data,8,188195426,188239706,940977.130,941198.530,221.400,39730.785,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
13,ok,standard,0x317,data,8,196805784,196850064,984028.920,984250.320,221.400,42830.390,0D 95 0D 92 0D 94 0D 96,Growatt CAN 0x317 cell group 3 DLC=8 [0D 95 0D 92 0D 94 0D 96],0x317 cells C09=3.477V C10=3.474V C11=3.476V C12=3.478V,
14,ok,standard,0x318,data,8,213405328,213450008,1067026.640,1067250.040,223.400,82776.320,0D 95 0D 8E 0D 92 0D 92,Growatt CAN 0x318 cell group 4 DLC=8 [0D 95 0D 8E 0D 92 0D 92],0x318 cells C13=3.477V C14=3.470V C15=3.474V C16=3.474V,
15,ok,standard,0x311,data,8,246605567,246651047,1233027.835,1233255.235,227.400,165777.795,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
16,ok,standard,0x312,data,8,263695909,263744189,1318479.545,1318720.945,241.400,85224.310,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
17,ok,standard,0x313,data,8,280205455,280250935,1401027.275,1401254.675,227.400,82306.330,15 B6 00 00 01 08 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B6 00 00 01 08 46 64],0x313 pack V=55.58V I=+0.0A Tavg=26.4C SOC=70%% SOH=100%% lifeWarn=0,
18,ok,standard,0x301,data,8,290167876,290212156,1450839.380,1451060.780,221.400,49584.705,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
19,ok,standard,0x314,data,8,296805449,296852129,1484027.245,1484260.645,233.400,32966.465,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
20,ok,standard,0x319,data,8,313405393,313450873,1567026.965,1567254.365,227.400,82766.320,C1 0D 96 0D 8C 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 96 0D 8C 01 01 00],0x319 cell_max=3.478V#1 cell_min=3.468V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
21,ok,standard,0x320,data,8,330004538,330051218,1650022.690,1650256.090,233.400,82768.325,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
22,ok,standard,0x322,data,8,346604481,346650361,1733022.405,1733251.805,229.400,82766.315,01 08 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 08 01 02 01 01 46 46],0x322 Tmax=26.4C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
23,ok,standard,0x315,data,8,363695624,363739504,1818478.120,1818697.520,219.400,85226.315,0D 93 0D 8C 0D 91 0D 90,Growatt CAN 0x315 cell group 1 DLC=8 [0D 93 0D 8C 0D 91 0D 90],0x315 cells C01=3.475V C02=3.468V C03=3.473V C04=3.472V,
24,ok,standard,0x316,data,8,380204369,380248249,1901021.845,1901241.245,219.400,82324.325,0D 90 0D 93 0D 91 0D 94,Growatt CAN 0x316 cell group 2 DLC=8 [0D 90 0D 93 0D 91 0D 94],0x316 cells C05=3.472V C06=3.475V C07=3.473V C08=3.476V,
25,ok,standard,0x301,data,8,392187606,392231886,1960938.030,1961159.430,221.400,59696.785,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
26,ok,standard,0x317,data,8,396804814,396849094,1984024.070,1984245.470,221.400,22864.640,0D 95 0D 92 0D 94 0D 96,Growatt CAN 0x317 cell group 3 DLC=8 [0D 95 0D 92 0D 94 0D 96],0x317 cells C09=3.477V C10=3.474V C11=3.476V C12=3.478V,
27,ok,standard,0x318,data,8,413404358,413449038,2067021.790,2067245.190,223.400,82776.320,0D 95 0D 8E 0D 92 0D 92,Growatt CAN 0x318 cell group 4 DLC=8 [0D 95 0D 8E 0D 92 0D 92],0x318 cells C13=3.477V C14=3.470V C15=3.474V C16=3.474V,
28,ok,standard,0x311,data,8,446603796,446649276,2233018.980,2233246.380,227.400,165773.790,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
29,ok,standard,0x312,data,8,463693739,463742019,2318468.695,2318710.095,241.400,85222.315,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
30,ok,standard,0x313,data,8,480203284,480248764,2401016.420,2401243.820,227.400,82306.325,15 B6 00 00 01 08 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B6 00 00 01 08 46 64],0x313 pack V=55.58V I=+0.0A Tavg=26.4C SOC=70%% SOH=100%% lifeWarn=0,
31,ok,standard,0x301,data,8,494173316,494217596,2470866.580,2471087.980,221.400,69622.760,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
32,ok,standard,0x314,data,8,496803728,496850408,2484018.640,2484252.040,233.400,12930.660,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
33,ok,standard,0x319,data,8,513403273,513448753,2567016.365,2567243.765,227.400,82764.325,C1 0D 96 0D 8C 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 96 0D 8C 01 01 00],0x319 cell_max=3.478V#1 cell_min=3.468V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
34,ok,standard,0x320,data,8,530002817,530049497,2650014.085,2650247.485,233.400,82770.320,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
35,ok,standard,0x322,data,8,546603162,546649042,2733015.810,2733245.210,229.400,82768.325,01 08 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 08 01 02 01 01 46 46],0x322 Tmax=26.4C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
36,ok,standard,0x315,data,8,563693903,563737783,2818469.515,2818688.915,219.400,85224.305,0D 93 0D 8C 0D 91 0D 90,Growatt CAN 0x315 cell group 1 DLC=8 [0D 93 0D 8C 0D 91 0D 90],0x315 cells C01=3.475V C02=3.468V C03=3.473V C04=3.472V,
37,ok,standard,0x316,data,8,580203849,580247729,2901019.245,2901238.645,219.400,82330.330,0D 90 0D 93 0D 91 0D 94,Growatt CAN 0x316 cell group 2 DLC=8 [0D 90 0D 93 0D 91 0D 94],0x316 cells C05=3.472V C06=3.475V C07=3.473V C08=3.476V,
