frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
34,ok,response,0x01,0x03,0x0071,16,32,true,1325758124,1333466805,6628790.620,6667334.025,38543.405,5255.050,01 03 20 0D EE 0D EF 0D EE 0D F1 0D F1 0D EF 0D EF 0D F1 0D EF 0D EE 0D EE 0D F1 0D F2 0D F1 0D F1 00 00 D0 0D,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.566V#1 max=3.570V#13,
35,ok,request,0x01,0x03,0x0010,15,,true,1403559278,1405517593,7017796.390,7027587.965,9791.575,350462.365,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
36,ok,response,0x01,0x03,0x0010,15,30,true,1406574387,1413866383,7032871.935,7069331.915,36459.980,5283.970,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
37,ok,request,0x01,0x03,0x0020,11,,true,1483762294,1485720609,7418811.470,7428603.045,9791.575,349479.555,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
38,ok,response,0x01,0x03,0x0020,11,22,true,1486744786,1492370039,7433723.930,7461850.195,28126.265,5120.885,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D EE 00 01 00 02 00 00 00 00 F8 19,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
39,ok,request,0x01,0x03,0x0071,16,,true,1564364273,1566322588,7821821.365,7831612.940,9791.575,359971.170,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
40,ok,response,0x01,0x03,0x0071,16,32,true,1567352709,1575061390,7836763.545,7875306.950,38543.405,5150.605,01 03 20 0D ED 0D EF 0D EF 0D F1 0D F1 0D EF 0D EE 0D EF 0D EE 0D EF 0D EE 0D F1 0D F2 0D F1 0D F1 00 00 09 55,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#1 max=3.570V#13,
41,ok,request,0x01,0x03,0x0010,15,,true,1645151411,1647109726,8225757.055,8235548.630,9791.575,350450.105,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
42,ok,response,0x01,0x03,0x0010,15,30,true,1648168973,1655460968,8240844.865,8277304.840,36459.975,5296.235,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
43,ok,request,0x01,0x03,0x0020,11,,true,1725347594,1727305909,8626737.970,8636529.545,9791.575,349433.130,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
44,ok,response,0x01,0x03,0x0020,11,22,true,1728172699,1733797951,8640863.495,8668989.755,28126.260,4333.950,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D EE 00 01 00 02 00 00 00 00 F8 19,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
45,ok,request,0x01,0x03,0x0071,16,,true,1805772160,1807730476,9028860.800,9038652.380,9791.580,359871.045,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
46,ok,response,0x01,0x03,0x0071,16,32,true,1808759784,1816468466,9043798.920,9082342.330,38543.410,5146.540,01 03 20 0D ED 0D EF 0D EF 0D F2 0D F1 0D EF 0D EE 0D EF 0D EE 0D EE 0D EE 0D F1 0D F1 0D F1 0D F1 00 00 C7 9F,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#1 max=3.570V#4,
47,ok,request,0x01,0x03,0x0010,15,,true,1886355269,1888313584,9431776.345,9441567.920,9791.575,349434.015,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
48,ok,response,0x01,0x03,0x0010,15,30,true,1889367706,1896659702,9446838.530,9483298.510,36459.980,5270.610,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
49,ok,request,0x01,0x03,0x0020,11,,true,1966562447,1968520763,9832812.235,9842603.815,9791.580,349513.725,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
50,ok,response,0x01,0x03,0x0020,11,22,true,1969371432,1974996683,9846857.160,9874983.415,28126.255,4253.345,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D EE 00 01 00 02 00 00 00 00 F8 19,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
