frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
229,ok,standard,0x375,data,8,1826503831,1826550111,9132519.155,9132750.555,231.400,39768.760,30 30 3A 3A 30 31 00 00,Victron CAN v2026.07.03a 0x375 ASCII segment DLC=8 [30 30 3A 3A 30 31 00 00],0x375 ASCII '00::01' raw=30 30 3A 3A 30 31 00 00,
230,ok,standard,0x376,data,8,1834504270,1834550150,9172521.350,9172750.750,229.400,39770.795,30 30 3A 3A 30 33 00 00,Victron CAN v2026.07.03a 0x376 ASCII segment DLC=8 [30 30 3A 3A 30 33 00 00],0x376 ASCII '00::03' raw=30 30 3A 3A 30 33 00 00,
231,ok,standard,0x377,data,8,1842504304,1842550184,9212521.520,9212750.920,229.400,39770.770,30 30 3A 3A 30 34 00 00,Victron CAN v2026.07.03a 0x377 ASCII segment DLC=8 [30 30 3A 3A 30 34 00 00],0x377 ASCII '00::04' raw=30 30 3A 3A 30 34 00 00,
232,ok,standard,0x378,data,8,1850544742,1850593022,9252723.710,9252965.110,241.400,39972.790,00 00 00 00 08 00 00 00,Victron CAN v2026.07.03a 0x378 raw DLC=8 [00 00 00 00 08 00 00 00],0x378 raw raw=00 00 00 00 08 00 00 00,
233,ok,standard,0x379,data,8,1858591581,1858639461,9292957.905,9293197.305,239.400,39992.795,28 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x379 raw DLC=8 [28 00 00 00 00 00 00 00],0x379 raw raw=28 00 00 00 00 00 00 00,
234,ok,standard,0x380,data,8,1866505616,1866550696,9332528.080,9332753.480,225.400,39330.775,34 30 39 30 34 34 39 30,Victron CAN v2026.07.03a 0x380 ASCII segment DLC=8 [34 30 39 30 34 34 39 30],0x380 ASCII '40904490' raw=34 30 39 30 34 34 39 30,
235,ok,standard,0x381,data,8,1874524052,1874571532,9372620.260,9372857.660,237.400,39866.780,38 30 39 00 30 30 30 00,Victron CAN v2026.07.03a 0x381 ASCII segment DLC=8 [38 30 39 00 30 30 30 00],0x381 ASCII '809 000' raw=38 30 39 00 30 30 30 00,
236,ok,standard,0x351,data,8,1882506084,1882551564,9412530.420,9412757.820,227.400,39672.760,9E 02 7C 20 B6 03 E3 00,Victron CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V flags=charge=ON discharge=ON,
237,ok,standard,0x355,data,8,1890516919,1890562399,9452584.595,9452811.995,227.400,39826.775,63 00 64 00 8E 26 00 00,Victron CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 8E 26 00 00],0x355 SOC=99% SOH=100% raw_tail=8E 26 00 00,
238,ok,standard,0x356,data,8,1898514160,1898560040,9492570.800,9492800.200,229.400,39758.805,52 16 00 00 33 01 00 00,Victron CAN v2026.07.03a 0x356 pack DLC=8 [52 16 00 00 33 01 00 00],0x356 pack V=57.14V I=+0.0A temp=30.7C raw_tail=00 00,
239,ok,standard,0x35A,data,8,1906508192,1906553272,9532540.960,9532766.360,225.400,39740.760,A8 A8 02 00 A8 A8 02 02,Victron CAN v2026.07.03a 0x35A vendor/raw DLC=8 [A8 A8 02 00 A8 A8 02 02],0x35A vendor/raw raw=A8 A8 02 00 A8 A8 02 02,
240,ok,standard,0x35E,data,8,1914507828,1914552508,9572539.140,9572762.540,223.400,39772.780,4A 4B 2D 42 4D 53 00 00,Victron CAN v2026.07.03a 0x35E manufacturer DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E ASCII 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
241,ok,standard,0x35F,data,8,1922507866,1922553746,9612539.330,9612768.730,229.400,39776.790,69 4C 0F 26 27 00 00 00,Victron CAN v2026.07.03a 0x35F battery/raw DLC=8 [69 4C 0F 26 27 00 00 00],"0x35F battery/raw raw=69 4C 0F 26 27 00 00 00 u16=[19561, 9743, 39, 0]",
242,ok,standard,0x360,data,8,1930519100,1930568180,9652595.500,9652840.900,245.400,39826.770,00 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x360 status/raw DLC=8 [00 00 00 00 00 00 00 00],0x360 status/raw raw=00 00 00 00 00 00 00 00,
243,ok,standard,0x370,data,8,1938508734,1938553414,9692543.670,9692767.070,223.400,39702.770,4A 4B 2D 42 4D 53 00 00,Victron CAN v2026.07.03a 0x370 ASCII/raw DLC=8 [4A 4B 2D 42 4D 53 00 00],0x370 ASCII 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
244,ok,standard,0x371,data,8,1946519971,1946568651,9732599.855,9732843.255,243.400,39832.785,00 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x371 raw DLC=8 [00 00 00 00 00 00 00 00],0x371 raw raw=00 00 00 00 00 00 00 00,
245,ok,standard,0x372,data,8,1954592014,1954640294,9772960.070,9773201.470,241.400,40116.815,01 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x372 raw DLC=8 [01 00 00 00 00 00 00 00],0x372 raw raw=01 00 00 00 00 00 00 00,
246,ok,standard,0x373,data,8,1962510047,1962555527,9812550.235,9812777.635,227.400,39348.765,F3 0D F4 0D 2F 01 30 01,Victron CAN v2026.07.03a 0x373 cell/temp tentative DLC=8 [F3 0D F4 0D 2F 01 30 01],0x373 tentative cell_min=3.571V cell_max=3.572V t1=30.3C t2=30.4C,
247,ok,standard,0x374,data,8,1970538879,1970585159,9852694.395,9852925.795,231.400,39916.760,30 30 3A 3A 30 33 00 00,Victron CAN v2026.07.03a 0x374 ASCII segment DLC=8 [30 30 3A 3A 30 33 00 00],0x374 ASCII '00::03' raw=30 30 3A 3A 30 33 00 00,
248,ok,standard,0x375,data,8,1978510917,1978557197,9892554.585,9892785.985,231.400,39628.790,30 30 3A 3A 30 31 00 00,Victron CAN v2026.07.03a 0x375 ASCII segment DLC=8 [30 30 3A 3A 30 31 00 00],0x375 ASCII '00::01' raw=30 30 3A 3A 30 31 00 00,
249,ok,standard,0x376,data,8,1986510950,1986556830,9932554.750,9932784.150,229.400,39768.765,30 30 3A 3A 30 33 00 00,Victron CAN v2026.07.03a 0x376 ASCII segment DLC=8 [30 30 3A 3A 30 33 00 00],0x376 ASCII '00::03' raw=30 30 3A 3A 30 33 00 00,
250,ok,standard,0x377,data,8,1994518988,1994564868,9972594.940,9972824.340,229.400,39810.790,30 30 3A 3A 30 34 00 00,Victron CAN v2026.07.03a 0x377 ASCII segment DLC=8 [30 30 3A 3A 30 34 00 00],0x377 ASCII '00::04' raw=30 30 3A 3A 30 34 00 00,
