frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
54,ok,standard,0x35E,data,8,1794987024,1795031304,8974935.120,8975156.520,221.400,128225.975,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
55,ok,standard,0x35F,data,8,1820095304,1820142784,9100476.520,9100713.920,237.400,125320.000,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
56,ok,standard,0x35A,data,8,1895694441,1895738321,9478472.205,9478691.605,219.400,377758.285,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
57,ok,standard,0x351,data,8,1920895120,1920941400,9604475.600,9604707.000,231.400,125783.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
58,ok,standard,0x355,data,8,1946094199,1946140479,9730470.995,9730702.395,231.400,125763.995,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
59,ok,standard,0x356,data,8,1971294878,1971341158,9856474.390,9856705.790,231.400,125771.995,EE 15 00 00 F9 00 00 00,Sofar CAN v2026.07.04a 0x356 pack DLC=8 [EE 15 00 00 F9 00 00 00],0x356 Sofar pack V=56.14V I=+0.0A temp=24.9C,
60,ok,standard,0x35E,data,8,1996494357,1996538637,9982471.785,9982693.185,221.400,125765.995,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
61,ok,standard,0x35F,data,8,2021693436,2021740916,10108467.180,10108704.580,237.400,125773.995,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
62,ok,standard,0x35A,data,8,2097293372,2097337252,10486466.860,10486686.260,219.400,377762.280,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
63,ok,standard,0x351,data,8,2122493651,2122539931,10612468.255,10612699.655,231.400,125781.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
64,ok,standard,0x355,data,8,2147693530,2147739810,10738467.650,10738699.050,231.400,125767.995,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
65,ok,standard,0x356,data,8,2172892609,2172938889,10864463.045,10864694.445,231.400,125763.995,EE 15 00 00 F9 00 00 00,Sofar CAN v2026.07.04a 0x356 pack DLC=8 [EE 15 00 00 F9 00 00 00],0x356 Sofar pack V=56.14V I=+0.0A temp=24.9C,
66,ok,standard,0x35E,data,8,2198092888,2198137168,10990464.440,10990685.840,221.400,125769.995,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
67,ok,standard,0x35F,data,8,2223292367,2223339847,11116461.835,11116699.235,237.400,125775.995,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
68,ok,standard,0x35A,data,8,2298892304,2298936184,11494461.520,11494680.920,219.400,377762.285,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
69,ok,standard,0x351,data,8,2324091783,2324138063,11620458.915,11620690.315,231.400,125777.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
70,ok,standard,0x355,data,8,2349292062,2349338342,11746460.310,11746691.710,231.400,125769.995,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
71,ok,standard,0x356,data,8,2376067131,2376113411,11880335.655,11880567.055,231.400,133643.945,EE 15 00 00 F9 00 00 00,Sofar CAN v2026.07.04a 0x356 pack DLC=8 [EE 15 00 00 F9 00 00 00],0x356 Sofar pack V=56.14V I=+0.0A temp=24.9C,
